precision_g4,recall_g4,precision_g35,recall_g35,precision_la,recall_la
0.9,0.8571428571428571,0.9166666666666666,0.8571428571428571,0.9285714285714286,1.0
0.8461538461538461,0.6666666666666666,0.875,0.4444444444444444,0.875,0.6666666666666666
0.8214285714285714,1.0,0.9,0.5714285714285714,0.8125,0.7142857142857143
0.9666666666666667,0.8571428571428571,1.0,0.2857142857142857,0.9285714285714286,0.7142857142857143
0.9655172413793104,1.0,0.8888888888888888,0.625,1.0,0.75
0.8333333333333334,1.0,0.8,0.7142857142857143,0.8888888888888888,1.0
0.9333333333333333,1.0,0.7,0.5714285714285714,0.7894736842105263,0.5714285714285714
0.8709677419354839,1.0,0.8571428571428571,0.375,0.8888888888888888,0.625
0.8928571428571429,1.0,1.0,0.5,0.6666666666666666,0.5
0.896551724137931,1.0,0.9,0.6,0.7857142857142857,0.8
0.9333333333333333,1.0,0.8461538461538461,1.0,0.9230769230769231,1.0
0.75,0.8571428571428571,0.625,0.42857142857142855,0.6666666666666666,0.5714285714285714
0.9,1.0,0.8888888888888888,0.5,0.875,0.75
0.8518518518518519,0.8888888888888888,1.0,0.7777777777777778,0.8,0.8888888888888888
0.8571428571428571,1.0,0.9,0.7777777777777778,1.0,0.7777777777777778
0.9629629629629629,0.8888888888888888,0.95,0.8888888888888888,0.8666666666666667,0.6666666666666666
0.9259259259259259,0.7777777777777778,1.0,0.6666666666666666,0.8333333333333334,0.6666666666666666
0.8928571428571429,0.75,0.8888888888888888,0.75,0.5,0.25
0.7931034482758621,0.8,1.0,0.8,0.6923076923076923,0.8
0.8620689655172413,1.0,1.0,0.5714285714285714,0.8,0.7142857142857143
0.8928571428571429,0.7777777777777778,1.0,0.5555555555555556,0.5,0.2222222222222222
0.8275862068965517,0.8333333333333334,0.7142857142857143,0.6666666666666666,0.8,1.0
0.9310344827586207,0.8571428571428571,0.875,0.42857142857142855,0.8333333333333334,0.7142857142857143
0.8620689655172413,0.875,1.0,0.75,1.0,0.375
0.896551724137931,0.8333333333333334,0.8571428571428571,0.3333333333333333,0.9090909090909091,0.6666666666666666
0.8928571428571429,0.8888888888888888,1.0,0.7777777777777778,0.6666666666666666,0.3333333333333333
0.8620689655172413,0.875,0.9230769230769231,0.75,0.7857142857142857,0.75
0.7931034482758621,1.0,0.6666666666666666,0.6666666666666666,0.8421052631578947,0.8333333333333334
0.8928571428571429,0.8571428571428571,0.8888888888888888,0.7142857142857143,0.8823529411764706,0.8571428571428571
0.7857142857142857,1.0,0.625,0.6,0.8333333333333334,0.8
0.7407407407407407,0.5,1.0,0.5,0.75,0.5
0.8148148148148148,1.0,1.0,0.6666666666666666,0.9333333333333333,1.0
0.75,0.8,1.0,0.6,0.7857142857142857,1.0
0.75,1.0,0.6666666666666666,0.6666666666666666,0.7647058823529411,1.0
0.8148148148148148,0.75,0.42857142857142855,0.75,0.5625,0.75
0.9090909090909091,1.0,1.0,0.5,0.7777777777777778,1.0
0.90625,0.8333333333333334,1.0,0.5,0.6666666666666666,0.5
0.90625,0.8333333333333334,0.8,0.3333333333333333,0.5,0.3333333333333333
0.875,1.0,1.0,0.5714285714285714,0.6923076923076923,0.8571428571428571
0.84375,0.8888888888888888,0.75,0.4444444444444444,0.5,0.6666666666666666
0.8125,1.0,1.0,0.2,0.3333333333333333,0.4
0.9090909090909091,0.8571428571428571,1.0,0.5714285714285714,0.7333333333333333,0.42857142857142855
0.9090909090909091,0.8333333333333334,1.0,0.6666666666666666,0.9285714285714286,0.8333333333333334
0.8484848484848485,1.0,0.75,0.8,0.7333333333333333,0.8
0.8787878787878788,1.0,1.0,0.8333333333333334,0.9411764705882353,1.0
0.875,1.0,0.75,0.6,0.6923076923076923,0.8
0.8787878787878788,1.0,1.0,1.0,0.8666666666666667,0.8
0.90625,1.0,0.6363636363636364,0.8571428571428571,0.7142857142857143,0.5714285714285714
0.7777777777777778,1.0,0.8571428571428571,1.0,0.2857142857142857,0.4
0.9393939393939394,1.0,0.7,0.8333333333333334,0.4,0.3333333333333333
0.8787878787878788,1.0,0.9,1.0,0.5,0.75
0.9117647058823529,0.8333333333333334,0.9,0.6666666666666666,0.8125,0.8333333333333334
0.9117647058823529,1.0,1.0,1.0,0.6363636363636364,0.6666666666666666
0.8333333333333334,1.0,1.0,0.5,0.6666666666666666,0.75
0.9166666666666666,0.6666666666666666,1.0,0.6666666666666666,0.8125,0.8333333333333334
0.625,1.0,1.0,1.0,0.8235294117647058,0.8
0.7142857142857143,1.0,0.8,0.8,0.7142857142857143,0.8
0.8571428571428571,0.8,0.8888888888888888,0.8,0.7692307692307693,0.8
